Sample Name	Protocol REF	Parameter Value[Concentration measurement]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Provider name]	Parameter Value[Provider contact]	Parameter Value[Provider project ID]	Parameter Value[Provider sample ID]	Parameter Value[Provider QC status]	Parameter Value[Requestor contact]	Parameter Value[Requestor project]	Parameter Value[Requestor sample ID]	Parameter Value[Concentration measurement]	Parameter Value[Library source]	Parameter Value[Library strategy]	Parameter Value[Library selection]	Parameter Value[Library layout]	Parameter Value[Library kit]	Parameter Value[Target insert size]	Parameter Value[Wet-lab insert size]	Parameter Value[Barcode kit]	Parameter Value[Barcode kit catalogue ID]	Parameter Value[Barcode name]	Parameter Value[Barcode sequence]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Platform]	Parameter Value[Instrument model]	Parameter Value[Target read length]	Parameter Value[Target read length (mate 2)]	Parameter Value[Base quality encoding]	Parameter Value[Center name]	Parameter Value[Center contact]	Comment[DKFZ id]	Comment[Submission]	Performer	Date	Assay Name	Raw Data File
NZED3X-T1	Nucleic acid extraction RNA-Seq				NZED3X_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									NZED3X-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M?-R?	NA				
P2S5JX-T1	Nucleic acid extraction RNA-Seq				P2S5JX_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									P2S5JX-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	14928				
PLSC4S-T1	Nucleic acid extraction RNA-Seq				PLSC4S_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									PLSC4S-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	HiSeq X Ten			Phred+33	DKFZ Heidelberg		M2-R1	8564				
PLXNJQ-T1	Nucleic acid extraction RNA-Seq				PLXNJQ_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									PLXNJQ-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	HiSeq X Ten			Phred+33	DKFZ Heidelberg		T1-R1	8459				
PSDKG4-T1	Nucleic acid extraction RNA-Seq				PSDKG4_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									PSDKG4-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T2-R1	15249				
PSLJ9B-T1	Nucleic acid extraction RNA-Seq				PSLJ9B_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									PSLJ9B-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	13165				
QELDDT-T1	Nucleic acid extraction RNA-Seq				QELDDT_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									QELDDT-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T2-R1	14485				
QPHSMC-T1	Nucleic acid extraction RNA-Seq				QPHSMC_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									QPHSMC-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M2-R1	9446				
R2F3LS-T1	Nucleic acid extraction RNA-Seq				R2F3LS_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									R2F3LS-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	7103				
R2GY3Z-T1	Nucleic acid extraction RNA-Seq				R2GY3Z_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									R2GY3Z-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	HiSeq X Ten			Phred+33	DKFZ Heidelberg		M3-R1	9109				
RBZ9TV_2-T1	Nucleic acid extraction RNA-Seq				RBZ9TV_2_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									RBZ9TV_2-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T2-R1	14114				
RBZ9TV-T1	Nucleic acid extraction RNA-Seq				RBZ9TV_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									RBZ9TV-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T?-R?	NA				
RMEFXT-T1	Nucleic acid extraction RNA-Seq				RMEFXT_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									RMEFXT-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	HiSeq X Ten			Phred+33	DKFZ Heidelberg		T1-R1	8564				
RMRC9F-T1	Nucleic acid extraction RNA-Seq				RMRC9F_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									RMRC9F-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	7048				
RSFJTH-T1	Nucleic acid extraction RNA-Seq				RSFJTH_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									RSFJTH-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	HiSeq X Ten			Phred+33	DKFZ Heidelberg		M1-R1	8982				
RX17A3-T1	Nucleic acid extraction RNA-Seq				RX17A3_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									RX17A3-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T4-R1	9590				
S2GVE4-T1	Nucleic acid extraction RNA-Seq				S2GVE4_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									S2GVE4-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	8086				
TSZNH7-T1	Nucleic acid extraction RNA-Seq				TSZNH7_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									TSZNH7-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	9542				
TUPC9R-T1	Nucleic acid extraction RNA-Seq				TUPC9R_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									TUPC9R-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	11295				
TZTQ81-T1	Nucleic acid extraction RNA-Seq				TZTQ81_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									TZTQ81-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T7-R1	7155				
UKX9TP-T1	Nucleic acid extraction RNA-Seq				UKX9TP_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									UKX9TP-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	10800				
UT9NVE-T1	Nucleic acid extraction RNA-Seq				UT9NVE_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									UT9NVE-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R2	10800				
V54QGR-T1	Nucleic acid extraction RNA-Seq				V54QGR_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									V54QGR-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	NovaSeq 6000			Phred+33	DKFZ Heidelberg		M1-R1	17128				
VK9XCJ-T1	Nucleic acid extraction RNA-Seq				VK9XCJ_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									VK9XCJ-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	15092				
XENR97-T1	Nucleic acid extraction RNA-Seq				XENR97_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									XENR97-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	HiSeq X Ten			Phred+33	DKFZ Heidelberg		T1-R1	8982				
XGMSSQ-T1	Nucleic acid extraction RNA-Seq				XGMSSQ_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									XGMSSQ-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T3-R1	10120				
XM8HYN-T1	Nucleic acid extraction RNA-Seq				XM8HYN_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									XM8HYN-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M?-R?	NA				
XMPZA8-T1	Nucleic acid extraction RNA-Seq				XMPZA8_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									XMPZA8-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T3-R2	12561				
XPPPWN-T1	Nucleic acid extraction RNA-Seq				XPPPWN_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									XPPPWN-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	7685				
Y6TXS3-T1	Nucleic acid extraction RNA-Seq				Y6TXS3_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									Y6TXS3-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M2-R1	16705				
Y7ZBSS-T1	Nucleic acid extraction RNA-Seq				Y7ZBSS_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									Y7ZBSS-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	15460				
Y864CB-T1	Nucleic acid extraction RNA-Seq				Y864CB_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									Y864CB-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	8050				
YR1WVU-T1	Nucleic acid extraction RNA-Seq				YR1WVU_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									YR1WVU-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	10800				
YRJZTT-T1	Nucleic acid extraction RNA-Seq				YRJZTT_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									YRJZTT-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	11356				
ZRMTAB-T1	Nucleic acid extraction RNA-Seq				ZRMTAB_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									ZRMTAB-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	9914				
